UID          PID    PPID  C STIME TTY          TIME CMD
root         678       2  0 09:38 ?        00:00:00 [loop8]
root         680       2  0 09:38 ?        00:00:00 [loop9]
systemd+     713       1  0 09:38 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         754       2  0 09:38 ?        00:00:02 [kworker/0:3-events]
systemd+     760       1  0 09:38 ?        00:00:01 /lib/systemd/systemd-networkd
systemd+     762       1  0 09:38 ?        00:00:01 /lib/systemd/systemd-resolved
root         800       1  0 09:38 ?        00:00:01 /usr/lib/accountsservice/accounts-daemon
avahi        802       1  0 09:38 ?        00:00:06 avahi-daemon: running [cy2550.local]
root         803       1  0 09:38 ?        00:00:00 /usr/sbin/cupsd -l
message+     804       1  0 09:38 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         805       1  0 09:38 ?        00:00:03 /usr/sbin/NetworkManager --no-daemon
root         811       1  0 09:38 ?        00:00:02 /usr/sbin/irqbalance --foreground
root         813       1  0 09:38 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         814       1  0 09:38 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
syslog       816       1  0 09:38 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         821       1  0 09:38 ?        00:00:10 /usr/lib/snapd/snapd
root         822       1  0 09:38 ?        00:00:00 /usr/libexec/switcheroo-control
root         823       1  0 09:38 ?        00:00:00 /lib/systemd/systemd-logind
root         824       1  0 09:38 ?        00:00:00 /usr/lib/udisks2/udisksd
root         825       1  0 09:38 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        827     802  0 09:38 ?        00:00:00 avahi-daemon: chroot helper
lp           854     803  0 09:38 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         855       1  0 09:38 ?        00:00:00 /usr/sbin/cups-browsed
root         859       1  0 09:38 ?        00:00:00 /usr/sbin/ModemManager
root         868       1  0 09:38 ?        00:00:16 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/1124/config/daemon.json
root         872       1  0 09:38 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         972       1  0 09:38 ?        00:00:00 /usr/sbin/cron -f
whoopsie     978       1  0 09:38 ?        00:00:00 /usr/bin/whoopsie -f
daemon       979       1  0 09:38 ?        00:00:00 /usr/sbin/atd -f
root         981       1  0 09:38 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyAMA0 vt220
kernoops     983       1  0 09:38 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     987       1  0 09:38 ?        00:00:00 /usr/sbin/kerneloops
root         988       1  0 09:38 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1038       1  0 09:38 ?        00:00:00 /usr/lib/upower/upowerd
root        1097       1  0 09:38 ?        00:00:00 /usr/sbin/gdm3
rtkit       1142       1  0 09:38 ?        00:00:01 /usr/libexec/rtkit-daemon
root        1405     868  0 09:38 ?        00:01:28 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
colord      1559       1  0 09:38 ?        00:00:00 /usr/libexec/colord
root        1607       1  0 09:38 ?        00:00:00 /usr/sbin/spice-vdagentd
root        1612       2  0 09:38 ?        00:00:00 bpfilter_umh
root        1768    1097  0 09:38 ?        00:00:00 gdm-session-worker [pam/gdm-password]
annelee+    1775       1  0 09:38 ?        00:00:00 /lib/systemd/systemd --user
annelee+    1776    1775  0 09:38 ?        00:00:00 (sd-pam)
annelee+    1781    1775  0 09:38 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
annelee+    1783    1775  0 09:38 ?        00:00:00 /usr/libexec/tracker-miner-fs
annelee+    1785    1775  0 09:38 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
annelee+    1803    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfsd
annelee+    1804       1  0 09:38 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
annelee+    1812    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
annelee+    1814    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
annelee+    1825    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
annelee+    1830    1775  0 09:38 ?        00:00:03 /usr/libexec/gvfs-afc-volume-monitor
annelee+    1835    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
annelee+    1839    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
annelee+    1843    1775  0 09:38 ?        00:00:00 /usr/libexec/goa-daemon
annelee+    1851    1775  0 09:38 ?        00:00:00 /usr/libexec/goa-identity-service
annelee+    1867    1768  0 09:38 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
annelee+    1869    1867  0 09:38 tty2     00:00:16 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
annelee+    1877    1867  0 09:38 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
annelee+    1946    1877  0 09:38 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
annelee+    1963    1775  0 09:38 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
annelee+    1968    1963  0 09:38 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
annelee+    1974    1775  0 09:38 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
annelee+    1981    1775  0 09:38 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
annelee+    1995    1775  0 09:38 ?        00:00:43 /usr/bin/gnome-shell
annelee+    2018    1775  0 09:38 ?        00:00:00 /usr/libexec/gvfsd-metadata
annelee+    2021    1995  0 09:38 ?        00:00:00 ibus-daemon --panel disable --xim
annelee+    2025    2021  0 09:38 ?        00:00:00 /usr/libexec/ibus-memconf
annelee+    2026    2021  0 09:38 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
annelee+    2030    1775  0 09:38 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
annelee+    2033    1775  0 09:38 ?        00:00:00 /usr/libexec/ibus-portal
annelee+    2042    1775  0 09:38 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
annelee+    2045    1775  0 09:38 ?        00:00:00 /usr/libexec/xdg-permission-store
annelee+    2047    1775  0 09:38 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
annelee+    2059    1775  0 09:38 ?        00:00:00 /usr/libexec/evolution-source-registry
annelee+    2066    1775  0 09:38 ?        00:00:00 /usr/libexec/evolution-calendar-factory
annelee+    2076    1775  0 09:38 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
annelee+    2079    1775  0 09:38 ?        00:00:00 /usr/libexec/dconf-service
annelee+    2094    1803  0 09:38 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
annelee+    2098    1775  0 09:38 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
annelee+    2120    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-a11y-settings
annelee+    2121    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-color
annelee+    2122    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-datetime
annelee+    2124    1775  0 09:38 ?        00:00:01 /usr/libexec/gsd-housekeeping
annelee+    2126    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-keyboard
annelee+    2128    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-media-keys
annelee+    2129    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-power
annelee+    2132    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-print-notifications
annelee+    2133    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-rfkill
annelee+    2134    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
annelee+    2135    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-sharing
annelee+    2136    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-smartcard
annelee+    2137    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-sound
annelee+    2138    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-usb-protection
annelee+    2139    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-wacom
annelee+    2141    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-wwan
annelee+    2142    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-xsettings
annelee+    2187    1775  0 09:38 ?        00:00:00 /usr/bin/spice-vdagent
annelee+    2192    2021  0 09:38 ?        00:00:00 /usr/libexec/ibus-engine-simple
annelee+    2203    1775  0 09:38 ?        00:00:00 /usr/libexec/gsd-printer
annelee+    2224    1981  0 09:38 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
annelee+    2227    1981  0 09:38 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
annelee+    2314    1775  0 09:38 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
annelee+    2318    1775  0 09:38 ?        00:00:03 /usr/libexec/gnome-terminal-server
annelee+    2509    2318  0 09:38 pts/0    00:00:00 bash
annelee+    2927    1981  0 09:39 ?        00:00:02 update-notifier
annelee+    3148    1775  0 09:40 ?        00:01:26 /usr/lib/firefox/firefox -new-window
